,,,Slip Detection,,,,,,,,,
,,,DNN,,,,,,,,,
​,​1,2,3,4,5,Mean,Std Dev,,,,,
Precision​,0.9604714459,0.9543447157,0.9483900979,0.9543734011,0.9543949152,0.9544020865,0.004271564098,,,,,
F_score​,0.9632823574,0.9582864787,0.9563814551,0.9588016212,0.9591879781,0.9593167638,0.002529944957,,,,,
Recall​,0.9661340068,0.9623098328,0.964717754,0.9633485153,0.9641275272,0.9643871979,0.001439201207,,,,,
,,T+10,,,,,,,,,,
Accuracy​,0.9860282433,0.987326255,0.9872875004,0.9871034606,0.9868674585,0.9868806662,0.0005319103895,,,,,
Precision​,0.9466522523,0.9527789825,0.9434073134,0.9501959159,0.9501385451,0.9476128494,0.003644505893,,,,,
F_score​,0.9453872398,0.9503831185,0.951340604,0.949710053,0.948679768,0.9490369875,0.00229129041,,,,,
Recall​,0.9441306675,0.9479548415,0.9596191584,0.949261532,0.947184167,0.9505682225,0.005893852041,,,,,
,,T+15,,,,,,,,,,
Accuracy​,0.9801874571,0.9817114989,0.9802026976,0.9807005512,0.9804516244,0.9807005512,0.0006290291454,,,,,
Precision​,0.9316910499,0.9399162214,0.9289661119,0.9335244611,0.9312452865,0.9335244611,0.004157831556,,,,,
F_score​,0.9222999531,0.9278898102,0.9229397689,0.9243765108,0.9236581399,0.9243765108,0.002187032083,,,,,
Recall​,0.9133797353,0.9166140162,0.9171108654,0.915701539,0.9164062022,0.915701539,0.001466869811,,,,,
,,T+20,,,,,,,,,,
Accuracy​,0.9750949244,0.9741650523,0.974552499,0.9746041586,0.9738086013,0.9746041586,0.0004854542388,,,,,
Precision​,0.9316853241,0.9248355028,0.9214193376,0.9259800549,0.9168884412,0.9259800549,0.005495138525,,,,,
F_score​,0.8988384898,0.8957900774,0.8987023873,0.8977769848,0.8961402559,0.8977769848,0.001420745302,,,,,
Recall​,0.8713526136,0.8710529713,0.8786963917,0.8737006589,0.8776930993,0.8737006589,0.003543747217,,,,,
,,,,,,,,,,,,
,,,CONVLSTM,,,,,,,,,
,T+5,,,,,,,,,,,
Accuracy​,0.982349537,,,,,,,,,,,
Precision​,0.8875472962,,,,,,,,,,,
F_score​,0.8963594281,,,,,,,,,,,
Recall​,0.9137647784,,,,,,,,,,,
,T+10,,,MODEL,NO. OF MODEL PARAMETERS,INFERENCE TIME,,,,,,
Accuracy​,0.9770688657,,,DNN,,,,,,,,
Precision​,0.881642635,,,RNN,7105,,,,,,,
F_score​,0.871273473,,,CNN,231425,,,,,,,
Recall​,0.8716931342,,,LSTM,20417,,,,,,,
,T+15,,,CONV LSTM,28933,,,,,,,
Accuracy​,0.9663649339,,,,,,,,,,,
Precision​,0.8684935019,,,,,,,,,,,
F_score​,0.8171975013,,,,,,,,,,,
Recall​,0.7952598359,,,,,,,,,,,
,T+20,,,,,,,,,,,
Accuracy​,0.9643179087,,,,,,,,,,,
Precision​,0.8751244117,,,,,,,,,,,
F_score​,0.8235619962,,,,,,,,,,,
Recall​,0.7958252607,,,,,,,,,,,
